Name,Year,Description,Image,Quantity,Price
The Witcher 3: Wild Hunt - Blood and Wine,2016,Geralt is in the southern province of Toussaint where a monstrous serial killer is targeting knights with a dark past. Geralt and his old vampire friend investigate the killer's motives.,https://m.media-amazon.com/images/M/MV5BMTg2ZmY0MGUtZmFjZS00YjkxLTlmMWEtMDE0ZWQwYzBlODA2XkEyXkFqcGdeQXVyMzUwNzgzNzg@._V1_.jpg,0,0
Red Dead Redemption II,2018,"Amidst the decline of the Wild West at the turn of the 19th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.",https://m.media-amazon.com/images/M/MV5BMThiMGJkNDUtYjIxYy00ZTRhLWE5NmUtNzI4NTJlOGI4ZTMwXkEyXkFqcGdeQXVyNTk1ODMyNjA@._V1_.jpg,0,0
Wiedzmin 3: Dziki Gon,2015,A monster hunter for hire embarks on an epic journey to find his former apprentice before The Wild Hunt can capture her and bring about the destruction of the world.,https://m.media-amazon.com/images/M/MV5BYjY3ODFmNWUtNjhjNC00NTExLWIxYmEtYmQ0YTk5NjkzYTUwXkEyXkFqcGdeQXVyNzEyNjcwNTk@._V1_.jpg,0,0
The Last of Us,2013,"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.",https://m.media-amazon.com/images/M/MV5BMTkzMzk3MzYzMV5BMl5BanBnXkFtZTgwOTQzMDM2MTE@._V1_.jpg,0,0
God of War,2018,"After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.",https://m.media-amazon.com/images/M/MV5BMmVjMzkyYWMtNDNhNi00ZWI3LTgxNGUtODRkMWYxNjZmNDI5XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_.jpg,0,0
The Witcher 3: Wild Hunt - Hearts of Stone,2015,"Geralt is forced by a seemingly harmless merchant with sinister powers to complete three difficult tasks for a bored immortal, once a troubled nobleman who made a deal with the devil.",https://m.media-amazon.com/images/M/MV5BYTQ2YjVjNzMtMDNiZS00MmIwLTgzNDEtMGY3ZGIwMWI4ZjNjXkEyXkFqcGdeQXVyMzUwNzgzNzg@._V1_.jpg,0,0
Perusona 5: Za roiyaru,2019,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,https://m.media-amazon.com/images/M/MV5BZDFiMmYxYWQtYjNmZi00NGRiLThlMGUtYzU1NWRiNjAwMTgwXkEyXkFqcGdeQXVyOTE2NDMwNTM@._V1_.jpg,0,0
Zeruda no densetsu: Toki no okarina,1998,A young Kokiri boy discovers that his destiny is to free the Seven Sages and save the land of Hyrule from the treacherous sorcerer Ganondorf.,https://m.media-amazon.com/images/M/MV5BZjc3MmMzNGItYmEzYy00MWFhLWI0NDQtMWE3Y2Q1NjE1OWRlXkEyXkFqcGdeQXVyNzcyMjAwNTE@._V1_.jpg,0,0
Metal Gear Solid,1998,"A crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility. Solid Snake is up for the task to infiltrate the facility, rescue the two hostages and thwart the terrorists' plans.",https://m.media-amazon.com/images/M/MV5BNDQ2ZDljNDItZmNlMi00ZmMzLTlhNGMtMmE5ZTZkMmRmYzdiXkEyXkFqcGdeQXVyMTA3NjAwMDc4._V1_.jpg,0,0
Uncharted 4: A Thief's End,2016,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.",https://m.media-amazon.com/images/M/MV5BODBhMzJkZGMtMTFlMS00ODYxLTk2ZDktZTI0ZjQ2NjYyMTYzXkEyXkFqcGdeQXVyNzcyMjAwNTE@._V1_.jpg,0,0
Grand Theft Auto V,2013,Three very different criminals team up for a series of heists in the corrupt city of Los Santos.,https://m.media-amazon.com/images/M/MV5BZTI4YWM0YjItNTk4Mi00N2NkLTlkZjItOGIzNTdmZTQyOTk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,0,0
Mass Effect 2,2010,"After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.",https://m.media-amazon.com/images/M/MV5BY2FjYWVjMGMtZGUwOS00YzVjLWE4OGItYWE4ZTA5NjM3N2E0XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,0,0
Red Dead Redemption,2010,A former outlaw is forced by the federal government to hunt down the members of his old gang.,https://m.media-amazon.com/images/M/MV5BZmYwNjk3OWMtODk2Yi00MjA3LTgzYzctODk1NmRhM2M4ZDVjXkEyXkFqcGdeQXVyNjgzMTIxNzE@._V1_.jpg,0,0
It Takes Two,2021,"Embark on the craziest journey of your life in It Takes Two, a genre-bending platform adventure created purely for co-op. Invite a friend to join for free with Friend's Pass and work ...",https://m.media-amazon.com/images/M/MV5BMGUwMWJkNGEtMjBhNC00MTNlLTgyZGYtMDUxOTQ4NzljNzE5XkEyXkFqcGdeQXVyMTEzMjE5NDg4._V1_.jpg,0,0
Half-Life: Alyx,2020,"A VR game of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Play as Alyx Vance, humanity's only chance for survival.",https://m.media-amazon.com/images/M/MV5BN2Y4NTg1YTMtMWI2MC00YmYzLWJiNzYtNGU3MTM5NmZkNDk5XkEyXkFqcGdeQXVyNzU3Nzk4MDQ@._V1_.jpg,0,0
Metal Gear Solid 3: Subsistence,2005,Enhanced version of,https://m.media-amazon.com/images/M/MV5BZDc1OGUxMzItNWIyYi00ZGExLTllZTItNGFmNWRmMDUyOGU5XkEyXkFqcGdeQXVyODg1MTQ2MDg@._V1_.jpg,0,0
Metal Gear Solid 3: Snake Eater,2004,"In 1964, a U.S. government operative codenamed ""Snake"" must infiltrate mountainous Soviet territory to rescue a scientist building a weapon of terrible power.",https://m.media-amazon.com/images/M/MV5BNzhlNDc3N2MtMjQwOC00MDMwLWFhNTgtNWY3N2E5MmU4NmE3XkEyXkFqcGdeQXVyODg1MTQ2MDg@._V1_.jpg,0,0
Star Wars: Knights of the Old Republic,2003,"A republic soldier, training to become a Jedi Knight, is given the task of halting the conquest of Darth Malak by discovering the location of a weapon known as the Star Forge.",https://m.media-amazon.com/images/M/MV5BN2YwNjdkNGUtYTc1Zi00YjIyLWJiMDgtNTI0YTE2ZjNjYzk1XkEyXkFqcGdeQXVyNzcyMjAwNTE@._V1_.jpg,0,0
Chrono Trigger,1995,"Crono, a young boy, is thrust to adventure by destiny to destroy an oncoming threat that will destroy the world in 1999.",https://m.media-amazon.com/images/M/MV5BMjk0ZmNlNjktNzgzNi00NjU5LWI4NjItMzZlZDVmM2Q0M2NkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,0,0
Final Fantasy VII,1997,A former soldier from an evil company joins a mercenary clan to fight the company he once served.,https://m.media-amazon.com/images/M/MV5BMGMxZDliYTktZTRmYy00MDc5LTk1YjMtMGY4NTM4ZDYzYmY2XkEyXkFqcGdeQXVyNzUzNTQ2MjQ@._V1_.jpg,0,0
Uncharted: The Nathan Drake Collection,2015,A remastered collection of,https://m.media-amazon.com/images/M/MV5BNGNmODM2MGQtNzhkZS00ZjY2LWI4NDQtOTAxZTBmNzUxZDBlXkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_.jpg,0,0
Bloodborne: The Old Hunters,2015,"In this DLC for Bloodborne, the player-Hunter is transported to the sinister Hunter's Nightmare, a demented place where hunters who become drunk with blood are sent to.",https://m.media-amazon.com/images/M/MV5BMWQwZTQxMGUtZmQ5NS00YmZiLWIyOGQtZjg5ZmE4MzQyYTAxXkEyXkFqcGdeQXVyMTQyNTU3NTg@._V1_.jpg,0,0
Zeruda no densetsu: Buresu obu za wairudo,2017,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.",https://m.media-amazon.com/images/M/MV5BZTI3OTQ3MjQtNTk3YS00ZDM5LWExOGEtMDAwN2MyYjBmOTIxXkEyXkFqcGdeQXVyNTk1ODMyNjA@._V1_.jpg,0,0
The Elder Scrolls V: Skyrim,2011,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.",https://m.media-amazon.com/images/M/MV5BYjlhNTk2MjEtN2MyZS00YWE3LWE5NTktNjEwYzQ0ZjhkZmZhXkEyXkFqcGdeQXVyNjk2MTcyMDA@._V1_.jpg,0,0
Portal 2,2011,"Many years after ""Portal,"" Chell reawakens at Aperture Science and tries to stop GLADoS once again with the help of Wheatley, who has his own plans for the historical facility.",https://m.media-amazon.com/images/M/MV5BNzEyNGM5YjgtYjFkMC00MTE1LTk1YjgtNjAyYjA2ODUzNzQwXkEyXkFqcGdeQXVyNjk2MTcyMDA@._V1_.jpg,0,0
Batman: Arkham City,2011,"When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.",https://m.media-amazon.com/images/M/MV5BZDE2ZDFhMDAtMDAzZC00ZmY3LThlMTItMGFjMzRlYzExOGE1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,0,0
